age,income,ownership,emp,intend,grade,amount,intrest,status,percent,default,history,cust_id,risk
22.0,59000.0,RENT,123.0,PERSONAL,D,35000.0,16.02,1.0,0.5932203389830508,Y,3.0,1,73.0
21.0,9600.0,OWN,5.0,EDUCATION,B,1000.0,11.14,0.0,0.1041666666666666,N,2.0,2,31.000000000000007
25.0,9600.0,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1.0,0.5729166666666666,N,3.0,3,51.00000000000001
23.0,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,1.0,0.5343511450381679,N,2.0,4,51.99999999999999
24.0,54400.0,RENT,8.0,MEDICAL,C,35000.0,14.27,1.0,0.6433823529411765,Y,4.0,5,72.00000000000001
21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1.0,0.2525252525252525,N,2.0,6,34.0
26.0,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,1.0,0.4539559014267185,N,3.0,7,48.0
24.0,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,1.0,0.443284867521151,N,4.0,8,49.0
24.0,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,1.0,0.4216867469879518,N,2.0,9,46.0
21.0,10000.0,OWN,6.0,VENTURE,D,1600.0,14.74,1.0,0.16,N,3.0,10,39.0
22.0,85000.0,RENT,6.0,VENTURE,B,35000.0,10.37,1.0,0.4117647058823529,N,4.0,11,49.0
21.0,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1.0,0.45,N,2.0,12,43.99999999999999
23.0,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,1.0,0.3684210526315789,N,2.0,13,50.0
26.0,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,1.0,0.323594674556213,N,4.0,14,57.0
23.0,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0.0,0.3043478260869565,N,4.0,15,48.0
23.0,225200.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000.0,10.65,0.0,0.1332149200710479,N,3.0,16,33.0
23.0,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0.0,0.2916666666666667,N,4.0,17,38.00000000000001
23.0,92111.0,RENT,7.0,MEDICAL,F,35000.0,20.25,1.0,0.3799763329026935,N,4.0,18,61.0
